oripathologie;commentaire;auteur;fr;cn;ar;th;ro;pl;pt;ja;it;es;de;en;
inclusion;Surveillance radiologique régulière nécessaire pour détection précoce et planification du traitement.;gpt4o;Surveillance radiologique régulière nécessaire pour détection précoce et planification du traitement.;为了及早发现和制定治疗计划，有必要定期进行放射学监测。;المراقبة الإشعاعية المنتظمة ضرورية للكشف المبكر والتخطيط للعلاج.;การติดตามทางรังสีวิทยาเป็นประจำมีความจำเป็นเพื่อการตรวจพบในระยะแรกและการวางแผนการรักษา;Monitorizarea radiologică periodică este necesară pentru detectarea precoce și planificarea tratamentului.;Regularne monitorowanie radiologiczne jest niezbędne do wczesnego wykrywania i planowania leczenia.;A monitorização radiológica regular é necessária para a deteção precoce e o planeamento do tratamento.;早期発見と治療計画のためには、定期的な放射線モニタリングが必要である。;Il monitoraggio radiologico regolare è necessario per la diagnosi precoce e la pianificazione del trattamento.;El seguimiento radiológico regular es necesario para la detección precoz y la planificación del tratamiento.;Regelmäßige radiologische Überwachung zur Früherkennung und Behandlungsplanung erforderlich.;Surveillance radiologique régulière nécessaire for détection précoce and planification du traitement.;
infraclusion;Surveillance nécessaire. peut nécessiter une intervention si elle affecte l'occlusion fonctionnelle.;gpt4o;Surveillance nécessaire. peut nécessiter une intervention si elle affecte l'occlusion fonctionnelle.;如果影响功能性闭塞，可能需要干预。;المراقبة مطلوبة. قد يتطلب الأمر التدخل إذا كان يؤثر على الانسداد الوظيفي.;ต้องมีการติดตามผล อาจต้องมีการแทรกแซงหากส่งผลกระทบต่อการสบฟัน;Monitorizare necesară. poate necesita intervenție dacă afectează ocluzia funcțională.;Wymagane monitorowanie. Może wymagać interwencji, jeśli wpływa na funkcjonalną okluzję.;É necessária monitorização. Pode exigir intervenção se afetar a oclusão funcional.;モニタリングが必要である。機能的咬合に影響する場合は介入が必要な場合もある。;È necessario un monitoraggio. può richiedere un intervento se influisce sull'occlusione funzionale.;Requiere seguimiento. Puede requerir intervención si afecta a la oclusión funcional.;Überwachung erforderlich. Kann eine Intervention erfordern, wenn sie die funktionelle Okklusion beeinträchtigt.;Surveillance nécessaire. peut nécessiter a intervention si elle affecte l'occlusion fonctionnelle.;
infraposition;Surveillance nécessaire pour éviter l'ankylose ou la résorption radiculaire.;gpt4o;Surveillance nécessaire pour éviter l'ankylose ou la résorption radiculaire.;需要进行监测，以防止强直或牙根吸收。;المراقبة المطلوبة لمنع حدوث تقشر أو ارتشاف الجذور.;การเฝ้าระวังเป็นสิ่งจำเป็นเพื่อป้องกันการยึดติดหรือการละลายของรากฟัน;Monitorizarea este necesară pentru a preveni anchiloza sau resorbția radiculară.;Wymagane monitorowanie w celu zapobiegania ankylozie lub resorpcji korzeni.;É necessária monitorização para evitar anquilose ou reabsorção radicular.;アンキローシスや歯根吸収を防ぐために、モニタリングが必要である。;È necessario un monitoraggio per prevenire l'anchilosi o il riassorbimento radicolare.;Monitorización necesaria para prevenir la anquilosis o la reabsorción radicular.;Überwachung erforderlich, um eine Ankylose oder Wurzelresorption zu vermeiden.;Surveillance nécessaire for éviter l'ankylosis or the root resorption.;
ingression;L'ingression réduit l'extrusion dentaire, optimisant l'occlusion et la fonction masticatoire.;gpt4o;L'ingression réduit l'extrusion dentaire, optimisant l'occlusion et la fonction masticatoire.;内陷可减少牙齿挤压，优化咬合和咀嚼功能。;يقلل الدخول من انبثاق الأسنان، مما يحسّن من الإطباق ووظيفة المضغ.;การแทรกซึมช่วยลดการยื่นของฟัน ลดการสบฟันที่ผิดปกติ และเพิ่มประสิทธิภาพในการบดเคี้ยว;Intrarea reduce extrudarea dentară, optimizând ocluzia și funcția masticatorie.;Ingresja zmniejsza ekstruzję zębów, optymalizując okluzję i funkcję żucia.;A invasão reduz a extrusão dentária, optimizando a oclusão e a função mastigatória.;歯列の突出を抑え、咬合と咀嚼機能を最適化します。;L'ingressione riduce l'estrusione dentale, ottimizzando l'occlusione e la funzione masticatoria.;La ingresión reduce la extrusión dental, optimizando la oclusión y la función masticatoria.;Die Ingression reduziert die Zahnextrusion und optimiert so die Okklusion und die Kaufunktion.;L'ingression réduit l'extrusion dentaire, optimisant l'occlusion and the chewing function.;
interposition linguale;L'interposition linguale peut entraîner une malocclusion antérieure.;gpt4o;L'interposition linguale peut entraîner une malocclusion antérieure.;舌侧插植可导致前牙错位。;يمكن أن يؤدي التداخل اللساني إلى سوء الإطباق الأمامي.;การแทรกซ้อนของลิ้นสามารถนำไปสู่การสบฟันผิดปกติด้านหน้า;Interpoziția linguală poate duce la o malocluzie anterioară.;Interpozycja lingwalna może prowadzić do wady zgryzu w odcinku przednim.;A interposição lingual pode levar a uma má oclusão anterior.;舌側咬合は前歯部の不正咬合を引き起こす可能性があります。;L'interposizione linguale può portare a una malocclusione anteriore.;La interposición lingual puede provocar una maloclusión anterior.;Die linguale Interposition kann zu einer vorderen Malokklusion führen.;L'lingual interposition peut entraîner a malocclusion previous.;
latérodéviation gauche mandibulaire;Vérifier l'occlusion et évaluer le besoin d'une correction fonctionnelle.;gpt4o;Vérifier l'occlusion et évaluer le besoin d'une correction fonctionnelle.;检查咬合情况，评估是否需要进行功能矫正。;التحقق من الانسداد وتقييم الحاجة إلى التصحيح الوظيفي.;ตรวจสอบการอุดกั้นและประเมินความจำเป็นในการแก้ไขการทำงาน;Verificați ocluzia și evaluați nevoia de corecție funcțională.;Sprawdź okluzję i oceń potrzebę korekty funkcjonalnej.;Verificar a oclusão e avaliar a necessidade de correção funcional.;咬合をチェックし、機能的矯正の必要性を評価する。;Controllare l'occlusione e valutare la necessità di una correzione funzionale.;Comprobar la oclusión y evaluar la necesidad de corrección funcional.;Überprüfen Sie die Okklusion und beurteilen Sie die Notwendigkeit einer funktionellen Korrektur.;Vérifier l'occlusion and évaluer the besoin d'a correction fonctionnelle.;
ligature;Assurez-vous que les ligatures sont bien serrées pour un contrôle optimal de l'arc orthodontique.;gpt4o;Assurez-vous que les ligatures sont bien serrées pour un contrôle optimal de l'arc orthodontique.;确保系带紧固，以实现对弓丝的最佳控制。;تأكد من أن الأربطة محكمة للتحكم الأمثل في السلك المقوس.;ตรวจสอบให้แน่ใจว่ามีการขันลวดมัดให้แน่นอย่างปลอดภัยเพื่อการควบคุมโครงเหล็กจัดฟันที่เหมาะสมที่สุด;Asigurați-vă că ligaturile sunt strânse pentru un control optim al arcului.;Upewnij się, że ligatury są szczelne, aby zapewnić optymalną kontrolę nad łukiem.;Certifique-se de que as ligaduras estão apertadas para um controlo ótimo do arco.;アーチワイヤーを最適にコントロールするために、リガチャーをしっかりと締めてください。;Assicurarsi che le legature siano ben strette per un controllo ottimale del filo dell'arco.;Asegúrese de que las ligaduras estén bien apretadas para un control óptimo del arco de alambre.;Achten Sie darauf, dass die Ligaturen fest sitzen, um eine optimale Kontrolle des kieferorthopädischen Bogens zu gewährleisten.;Assurez-vous that the ligatures are bien serrées for a control optimal of l'orthodontic arch.;
ligature amovible fixe;Assure une tension adéquate pour éviter les déplacements dentaires indésirables.;gpt4o;Assure une tension adéquate pour éviter les déplacements dentaires indésirables.;确保足够的张力，防止不必要的牙齿移动。;يضمن الشد الكافي لمنع حركة الأسنان غير المرغوب فيها.;ทำให้แน่ใจว่ามีความตึงเพียงพอเพื่อป้องกันการเคลื่อนตัวของฟันที่ไม่ต้องการ;Asigură o tensiune adecvată pentru a preveni mișcarea nedorită a dinților.;Zapewnia odpowiednie napięcie, aby zapobiec niepożądanym ruchom zębów.;Assegura uma tensão adequada para evitar movimentos dentários indesejados.;十分な張力を確保し、不要な歯の移動を防ぎます。;Assicura una tensione adeguata per evitare movimenti indesiderati dei denti.;Garantiza una tensión adecuada para evitar el movimiento indeseado de los dientes.;Sorgt für eine angemessene Spannung, um unerwünschte Zahnbewegungen zu verhindern.;Assure a tension adéquate for éviter the déplacements dentaires indésirables.;
linguo-version;La linguo-version désigne une inclinaison linguale des dents.;gpt4o;La linguo-version désigne une inclinaison linguale des dents.;舌侧倾斜是指牙齿的舌侧倾斜。;يشير الميل اللساني إلى الميل اللساني للأسنان.;ลิ้นกัว-เวอร์ชัน หมายถึง ความเอียงของฟันในแนวลิ้น;Linguo-versiunea se referă la o înclinare linguală a dinților.;Lingwo-wersja odnosi się do językowego nachylenia zębów.;A linguo-versão refere-se a uma inclinação lingual dos dentes.;舌側転位とは、歯が舌側に傾いていることを指す。;La linguoversione si riferisce a un'inclinazione linguale dei denti.;Linguo-versión se refiere a una inclinación lingual de los dientes.;Die Lingualversion bezeichnet eine linguale Neigung der Zähne.;the linguo-version désigne a lingual tilt some dents.;
luxation;Vérifiez l'intégrité des ligaments périodontaux et réalisez une contention stabilisatrice.;gpt4o;Vérifiez l'intégrité des ligaments périodontaux et réalisez une contention stabilisatrice.;检查牙周韧带的完整性，并施加稳定支撑。;التحقق من سلامة الأربطة اللثوية وتطبيق دعامة التثبيت.;ตรวจสอบความสมบูรณ์ของเส้นเอ็นปริทันต์และทำการยึดตรึงเพื่อความมั่นคง;Verificați integritatea ligamentelor parodontale și aplicați un suport stabilizator.;Sprawdź integralność więzadeł przyzębia i zastosuj wsparcie stabilizujące.;Verificar a integridade dos ligamentos periodontais e aplicar um suporte estabilizador.;歯根膜の完全性を確認し、安定したサポートを行う。;Controllare l'integrità dei legamenti parodontali e applicare un supporto stabilizzante.;Comprobar la integridad de los ligamentos periodontales y aplicar un soporte estabilizador.;Überprüfen Sie die Integrität der periodontalen Bänder und führen Sie eine stabilisierende Schienung durch.;Vérifiez l'intégrité some ligaments périodontaux and réalisez a restraint stabilisatrice.;
luxation méniscale;Surveillez les bruits articulaires, douleur et fonction mandibulaire.;gpt4o;Surveillez les bruits articulaires, douleur et fonction mandibulaire.;监测关节声、疼痛和下颌功能。;مراقبة أصوات المفاصل والألم ووظيفة الفك السفلي.;เฝ้าระวังเสียงในข้อต่อ อาการปวด และการทำงานของขากรรไกรล่าง;Monitorizați sunetele articulare, durerea și funcția mandibulară.;Monitorowanie odgłosów stawów, bólu i funkcji żuchwy.;Monitorizar os sons articulares, a dor e a função mandibular.;関節音、痛み、下顎機能をモニターする。;Monitorare i suoni articolari, il dolore e la funzione mandibolare.;Controlar los ruidos articulares, el dolor y la función mandibular.;Achten Sie auf Gelenkgeräusche, Schmerzen und Mandibularfunktion.;Surveillez the bruits articulaires, pain and fonction mandibular.;
macrodontie;Surveiller la macrodontie pour éviter l'encombrement dentaire et planifier une extraction si nécessaire.;gpt4o;Surveiller la macrodontie pour éviter l'encombrement dentaire et planifier une extraction si nécessaire.;监测巨牙症，避免牙齿拥挤，必要时计划拔牙。;راقب البقعي لتجنب ازدحام الأسنان وخطط لخلع الأسنان إذا لزم الأمر.;ติดตามการมีฟันขนาดใหญ่เพื่อป้องกันการซ้อนเกของฟัน และวางแผนการถอนฟันหากจำเป็น;Monitorizați macrodonția pentru a evita aglomerarea dentară și planificați extracția dacă este necesar.;Monitorować makrodoncję, aby uniknąć stłoczenia zębów i w razie potrzeby zaplanować ekstrakcję.;Monitorizar a macrodontia para evitar o apinhamento dentário e planear a extração, se necessário.;叢生を避けるために大歯列症を観察し、必要であれば抜歯を計画する。;Monitorare la macrodontia per evitare l'affollamento dentale e pianificare l'estrazione se necessario.;Controlar la macrodoncia para evitar el apiñamiento dental y planificar la extracción en caso necesario.;Überwachen Sie die Makrodontie, um Engstände in den Zähnen zu vermeiden, und planen Sie ggf. eine Extraktion.;monitor the macrodontia for éviter l'space requirement dentaire and planifier a extraction si nécessaire.;
macrognathie;Évaluer l'occlusion et envisager une chirurgie orthognathique si nécessaire.;gpt4o;Évaluer l'occlusion et envisager une chirurgie orthognathique si nécessaire.;评估咬合情况，必要时考虑正颌手术。;تقييم الانسداد والنظر في إجراء جراحة تقويم الأسنان إذا لزم الأمر.;ประเมินการสบฟันและพิจารณาการผ่าตัดกระดูกขากรรไกรหากจำเป็น;Evaluați ocluzia și luați în considerare chirurgia ortognatică, dacă este necesar.;Ocenić okluzję i w razie potrzeby rozważyć operację ortognatyczną.;Avaliar a oclusão e considerar a cirurgia ortognática, se necessário.;咬合を評価し、必要であれば顎矯正手術を検討する。;Valutare l'occlusione e considerare la chirurgia ortognatica, se necessario.;Evaluar la oclusión y considerar la cirugía ortognática si es necesario.;Beurteilen Sie die Okklusion und ziehen Sie ggf. eine orthognathe Chirurgie in Betracht.;Évaluer l'occlusion and envisager a orthognathic surgery si nécessaire.;
mainteneur d'espace;Assure l'intégrité de l'arcade après une extraction prématurée.;gpt4o;Assure l'intégrité de l'arcade après une extraction prématurée.;确保过早拔牙后牙弓的完整性。;يضمن سلامة القوس بعد الاستخراج المبكر.;รับประกันความสมบูรณ์ของโค้งฟันหลังการถอนก่อนกำหนด;Asigură integritatea arcadei după extracția prematură.;Zapewnia integralność łuku po przedwczesnej ekstrakcji.;Assegura a integridade da arcada após uma extração prematura.;早期抜歯後のアーチの完全性を確保する。;Assicura l'integrità dell'arcata dopo un'estrazione prematura.;Garantiza la integridad de la arcada tras una extracción prematura.;Gewährleistet die Unversehrtheit des Zahnbogens nach einer vorzeitigen Extraktion.;Assure l'intégrité of l'arcade after a extraction prématurée.;
mainteneur d'espace modéré;Assure une rétention efficace post-extraction, prévient la migration dentaire.;gpt4o;Assure une rétention efficace post-extraction, prévient la migration dentaire.;确保拔牙后的有效固位，防止牙齿移位。;يضمن الاحتفاظ الفعال بالأسنان بعد الخلع ويمنع نزوح الأسنان.;รับประกันการคงที่หลังการถอนฟันอย่างมีประสิทธิภาพและป้องกันการเคลื่อนตัวของฟัน;Asigură o retenție post-extracție eficientă, previne migrarea dinților.;Zapewnia skuteczną retencję poekstrakcyjną, zapobiega migracji zębów.;Assegura uma retenção pós-extração eficaz e evita a migração dos dentes.;抜歯後の効果的な保定を確保し、歯の移動を防ぎます。;Assicura un'efficace ritenzione post-estrattiva, prevenendo la migrazione dei denti.;Garantiza una retención postextracción eficaz, evita la migración de los dientes.;Sorgt für eine effektive Retention nach der Extraktion, beugt Zahnwanderungen vor.;Assure a rétention efficace post-extraction, prévient the migration dentaire.;
maladie parodontale;Surveiller l'inflammation, renforcer l'hygiène, éviter les mouvements dentaires excessifs.;gpt4o;Surveiller l'inflammation, renforcer l'hygiène, éviter les mouvements dentaires excessifs.;监测炎症，加强卫生，避免牙齿过度移动。;مراقبة الالتهاب وتعزيز النظافة وتجنب الحركة المفرطة للأسنان.;ติดตามการอักเสบ, ปรับปรุงสุขอนามัยในช่องปาก, หลีกเลี่ยงการเคลื่อนตัวของฟันมากเกินไป;Monitorizați inflamația, întăriți igiena și evitați mișcarea excesivă a dinților.;Monitoruj stan zapalny, wzmacniaj higienę i unikaj nadmiernego ruchu zębów.;Monitorizar a inflamação, reforçar a higiene e evitar movimentos dentários excessivos.;炎症を監視し、衛生管理を強化し、過剰な歯の移動を避ける。;Monitorare l'infiammazione, rafforzare l'igiene ed evitare un eccessivo movimento dei denti.;Vigilar la inflamación, reforzar la higiene y evitar el movimiento excesivo de los dientes.;Entzündung überwachen, Hygiene verstärken, übermäßige Zahnbewegungen vermeiden.;monitor l'inflammation, renforcer l'hygiene, éviter the movements dentaires excessifs.;
malocclusion;Évaluer l'alignement dentaire, envisager l'appareillage correctif.;gpt4o;Évaluer l'alignement dentaire, envisager l'appareillage correctif.;评估牙齿排列，考虑矫正器。;تقييم محاذاة الأسنان، والنظر في الأجهزة التصحيحية.;ประเมินการจัดเรียงของฟัน พิจารณาอุปกรณ์แก้ไข;Evaluarea alinierii dentare, luarea în considerare a aparatelor corective.;Ocena ustawienia zębów, rozważenie aparatów korekcyjnych.;Avaliar o alinhamento dentário, considerar aparelhos de correção.;歯並びを評価し、矯正器具を検討する。;Valutare l'allineamento dentale, prendere in considerazione apparecchi correttivi.;Evaluar la alineación dental, considerar aparatos correctores.;Beurteilen Sie die Zahnstellung, erwägen Sie eine korrigierende Apparatur.;Évaluer l'dental alignment, envisager l'appareillage correctif.;
malocclusion droite;Évaluer l'occlusion croisée, vérifier l'alignement dentaire et plan de traitement.;gpt4o;Évaluer l'occlusion croisée, vérifier l'alignement dentaire et plan de traitement.;评估交叉咬合，检查牙齿排列和治疗方案。;تقييم العضة المتقاطعة والتحقق من محاذاة الأسنان وخطة العلاج.;ประเมินการกัดคร่อม ตรวจสอบการจัดเรียงของฟัน และวางแผนการรักษา;Evaluarea mușchiului încrucișat, verificarea alinierii dentare și a planului de tratament.;Ocena zgryzu krzyżowego, sprawdzenie ustawienia zębów i planu leczenia.;Avaliar a mordida cruzada, verificar o alinhamento dentário e o plano de tratamento.;反対咬合の評価、歯並びのチェック、治療計画。;Valutazione del morso crociato, controllo dell'allineamento dentale e piano di trattamento.;Evaluar la mordida cruzada, comprobar la alineación dental y el plan de tratamiento.;Beurteilen Sie die Kreuzokklusion, überprüfen Sie die Zahnstellung und den Behandlungsplan.;Évaluer l'cross bite, vérifier l'dental alignment and plan of traitement.;
malposition maxillaire;Considérer l'expansion maxillaire pour corriger l'occlusion et améliorer la fonction.;gpt4o;Considérer l'expansion maxillaire pour corriger l'occlusion et améliorer la fonction.;考虑进行上颌骨扩张，以矫正咬合并改善功能。;النظر في توسيع الفك العلوي لتصحيح الانسداد وتحسين الوظيفة.;พิจารณาการขยายกระดูกขากรรไกรบนเพื่อแก้ไขการสบฟันและปรับปรุงการทำงาน;Luați în considerare expansiunea maxilară pentru a corecta ocluzia și a îmbunătăți funcția.;Rozważ rozszerzenie szczęki w celu skorygowania okluzji i poprawy funkcji.;Considerar a expansão maxilar para corrigir a oclusão e melhorar a função.;咬合を矯正し、機能を改善するために上顎の拡大を検討する。;Considerare l'espansione mascellare per correggere l'occlusione e migliorare la funzione.;Considerar la expansión maxilar para corregir la oclusión y mejorar la función.;Ziehen Sie eine Kieferexpansion in Betracht, um die Okklusion zu korrigieren und die Funktion zu verbessern.;Considérer l'expansion maxilla for corriger l'occlusion and améliorer the fonction.;
microdontie;Évaluer l'espace disponible pour ajuster l'arcade en cas de microdontie.;gpt4o;Évaluer l'espace disponible pour ajuster l'arcade en cas de microdontie.;评估小牙合情况下调整牙弓的可用空间。;تقييم المساحة المتوفرة لضبط القوس في حالة صغر السن.;ประเมินพื้นที่ที่มีอยู่เพื่อปรับโค้งในกรณีของฟันขนาดเล็กผิดปกติ;Evaluați spațiul disponibil pentru ajustarea arcadei în cazul microdonției.;Ocenić przestrzeń dostępną do regulacji łuku w przypadku mikrodoncji.;Avaliar o espaço disponível para ajustar a arcada em caso de microdontia.;小歯顎の場合、アーチを調整するためのスペースを評価する。;Valutare lo spazio disponibile per regolare l'arco in caso di microdonzia.;Evaluar el espacio disponible para ajustar el arco en caso de microdoncia.;Beurteilen Sie den verfügbaren Platz zum Anpassen des Zahnbogens bei Mikrodontie.;Évaluer l'space disponible for ajuster l'arcade en cas of microdontia.;
micrognathie;Considérer l'expansion maxillaire ou la traction orthopédique pour corriger la micrognathie.;gpt4o;Considérer l'expansion maxillaire ou la traction orthopédique pour corriger la micrognathie.;考虑通过上颌骨扩张或矫形牵引来矫正小颌畸形。;النظر في توسيع الفك العلوي أو الشد التقويمي لتصحيح صغر الفك العلوي.;พิจารณาการขยายกระดูกขากรรไกรบนหรือการดึงกระดูกด้วยอุปกรณ์ทางออร์โธปิดิกส์เพื่อแก้ไขภาวะขากรรไกรล่างเล็กผิดปกติ;Luați în considerare expansiunea maxilară sau tracțiunea ortopedică pentru a corecta micrognatia.;Rozważ rozszerzenie szczęki lub trakcję ortopedyczną w celu skorygowania mikrognacji.;Considerar a expansão maxilar ou a tração ortopédica para corrigir a micrognatia.;小顎症を矯正するために、上顎の拡大や整形外科的牽引を考慮する。;Considerare l'espansione mascellare o la trazione ortopedica per correggere la micrognazia.;Considerar la expansión maxilar o la tracción ortopédica para corregir la micrognatia.;Ziehen Sie eine Kieferexpansion oder orthopädische Traktion in Betracht, um die Mikrognathie zu korrigieren.;Considérer l'expansion maxilla or the traction orthopédique for corriger the micrognathia.;
minivis;Les minivis offrent une ancrage temporaire optimal pour les déplacements dentaires complexes.;gpt4o;Les minivis offrent une ancrage temporaire optimal pour les déplacements dentaires complexes.;Minivis 可为复杂的牙齿移动提供最佳的临时固定。;توفر الميني فيفيس تثبيتاً مؤقتاً مثالياً لحركات الأسنان المعقدة.;มินิ-อิมพลานต์ให้การยึดเกาะชั่วคราวที่ดีที่สุดสำหรับการเคลื่อนฟันที่ซับซ้อน;Minivis oferă o ancorare temporară optimă pentru mișcările dentare complexe.;Minivis oferuje optymalne tymczasowe zakotwienie dla złożonych ruchów zębów.;Os Minivis oferecem uma ancoragem temporária óptima para movimentos dentários complexos.;Minivisは、複雑な歯の移動に最適な暫間固定を提供します。;I Minivis offrono un ancoraggio temporaneo ottimale per i movimenti dentali complessi.;Los Minivis ofrecen un anclaje provisional óptimo para movimientos dentales complejos.;Minivis bieten eine optimale temporäre Verankerung für komplexe Zahnbewegungen.;the minivis offrent a ancrage temporaire optimal for the déplacements dentaires complexes.;
molaire;Surveille l'alignement des molaires pour éviter les malocclusions et assurer une occlusion fonctionnelle.;gpt4o;Surveille l'alignement des molaires pour éviter les malocclusions et assurer une occlusion fonctionnelle.;监测臼齿排列，防止咬合不正，确保功能性咬合。;مراقبة محاذاة الأضراس لمنع سوء الإطباق وضمان الإطباق الوظيفي.;ตรวจสอบการจัดเรียงของฟันกรามเพื่อป้องกันการสบฟันผิดปกติและเพื่อให้แน่ใจว่าการสบฟันเป็นไปอย่างมีประสิทธิภาพ;Monitorizează alinierea molarilor pentru a preveni malocluzia și a asigura ocluzia funcțională.;Monitoruje ustawienie zębów trzonowych, aby zapobiec wadom zgryzu i zapewnić funkcjonalną okluzję.;Monitoriza o alinhamento dos molares para prevenir a má oclusão e assegurar uma oclusão funcional.;不正咬合を予防し、機能的な咬合を確保するために、臼歯部のアライメントをモニターする。;Controlla l'allineamento dei molari per prevenire le malocclusioni e garantire un'occlusione funzionale.;Controla la alineación de los molares para evitar maloclusiones y garantizar una oclusión funcional.;Überwacht die Ausrichtung der Molaren, um Malokklusionen zu vermeiden und eine funktionelle Okklusion zu gewährleisten.;Surveille l'alignment some molaires for éviter the malocclusions and assurer a occlusion fonctionnelle.;
mésialisation;Facilite la fermeture des espaces post-extractionnels en déplaçant les dents vers l'avant.;gpt4o;Facilite la fermeture des espaces post-extractionnels en déplaçant les dents vers l'avant.;通过向前移动牙齿，更容易关闭拔牙后的间隙。;يجعل من السهل إغلاق فراغات ما بعد الاستخراج عن طريق تحريك الأسنان إلى الأمام.;ช่วยปิดช่องว่างหลังการถอนฟันโดยการเคลื่อนฟันไปข้างหน้า;Facilitează închiderea spațiilor post-extracție prin deplasarea dinților înainte.;Ułatwia zamknięcie przestrzeni poekstrakcyjnych poprzez przesunięcie zębów do przodu.;Facilita o fecho dos espaços pós-extração, deslocando os dentes para a frente.;歯を前方に移動させることで、抜歯後のスペースを閉じやすくします。;Facilita la chiusura degli spazi post-estrattivi spostando i denti in avanti.;Facilita el cierre de los espacios postextracción desplazando los dientes hacia delante.;Erleichtert das Schließen der post-extraktionellen Lücken, indem die Zähne nach vorne bewegt werden.;Facilite the fermeture some spaces post-extractionnels en déplaçant the dents vers l'before.;
mésialisation nocturne;Surveillez l'occlusion pour éviter une interférence occlusale.;gpt4o;Surveillez l'occlusion pour éviter une interférence occlusale.;监测咬合情况，避免咬合干扰。;راقب الإطباق لتجنب تداخل الإطباق.;ติดตามการอุดฟันเพื่อหลีกเลี่ยงการรบกวนการสบฟัน;Monitorizați ocluzia pentru a evita interferențele ocluzale.;Monitoruj okluzję, aby uniknąć interferencji okluzyjnej.;Monitorizar a oclusão para evitar interferências oclusais.;咬合干渉を避けるため、咬合をモニターする。;Monitorare l'occlusione per evitare interferenze occlusali.;Vigilar la oclusión para evitar interferencias oclusales.;Beobachten Sie die Okklusion, um eine okklusale Interferenz zu vermeiden.;Surveillez l'occlusion for éviter a interférence occlusale.;
métal;Utilisé pour les bagues, le métal offre robustesse et efficacité dans le traitement orthodontique.;gpt4o;Utilisé pour les bagues, le métal offre robustesse et efficacité dans le traitement orthodontique.;金属牙套在正畸治疗中既坚固又高效。;يُستخدم المعدن في تقويم الأسنان، حيث يوفر المعدن قوة وكفاءة في علاج تقويم الأسنان.;ใช้สำหรับเหล็กดัดฟัน โลหะมอบความแข็งแรงและประสิทธิภาพในการรักษาทางทันตกรรมจัดฟัน;Folosit pentru bretele, metalul oferă rezistență și eficiență în tratamentul ortodontic.;Stosowany w aparatach ortodontycznych metal zapewnia wytrzymałość i skuteczność leczenia ortodontycznego.;Utilizado em aparelhos ortodônticos, o metal oferece resistência e eficácia no tratamento ortodôntico.;歯列矯正に使用される金属は、矯正治療において強度と効率を提供する。;Utilizzato per gli apparecchi, il metallo offre resistenza ed efficienza nel trattamento ortodontico.;Utilizado para los aparatos de ortodoncia, el metal ofrece resistencia y eficacia en el tratamiento ortodóncico.;Metall wird für Zahnspangen verwendet und bietet Robustheit und Effizienz bei der kieferorthopädischen Behandlung.;Utilisé for the rings, the metal offre robustesse and efficacité in the traitement orthodontique.;
niti;Le fil NiTi offre une mémoire de forme et une force légère constante, idéal pour le niveau initial.;gpt4o;Le fil NiTi offre une mémoire de forme et une force légère constante, idéal pour le niveau initial.;镍钛丝具有形状记忆和恒定的轻力，非常适合初级阶段使用。;يوفر سلك NiTi ذاكرة شكل وقوة ضوء ثابتة، وهو مثالي للمستوى الأولي.;ลวด NiTi มีคุณสมบัติในการจดจำรูปร่างและแรงดึงที่คงที่ เหมาะอย่างยิ่งสำหรับขั้นตอนเริ่มต้น;Sârma NiTi oferă memorie de formă și forță de lumină constantă, ideală pentru nivelul inițial.;Drut NiTi oferuje pamięć kształtu i stałą siłę światła, idealną dla poziomu początkowego.;O fio NiTi oferece memória de forma e força de luz constante, ideal para o nível inicial.;NiTiワイヤーは形状記憶と一定の軽い力を提供し、初期レベルには理想的です。;Il filo NiTi offre memoria di forma e forza luminosa costante, ideale per il livello iniziale.;El alambre de NiTi ofrece memoria de forma y fuerza ligera constante, ideal para el nivel inicial.;Der NiTi-Draht bietet ein Formgedächtnis und eine konstante leichte Kraft, ideal für das Anfangsniveau.;the niti wire offre a mémoire of forme and a force slight constante, ideal for the niveau initial.;
nécrose pulpaire;Surveiller la vitalité dentaire et évaluer un possible traitement endodontique.;gpt4o;Surveiller la vitalité dentaire et évaluer un possible traitement endodontique.;监测牙齿活力，评估可能的牙髓治疗。;مراقبة حيوية الأسنان وتقييم العلاج اللبي المحتمل.;ตรวจสอบความมีชีวิตของฟันและประเมินความจำเป็นในการรักษาทางคลินิก;Monitorizarea vitalității dentare și evaluarea unui posibil tratament endodontic.;Monitorowanie żywotności zębów i ocena ewentualnego leczenia endodontycznego.;Monitorizar a vitalidade dentária e avaliar um possível tratamento endodôntico.;歯の活力をモニターし、歯内療法の可能性を評価する。;Monitorare la vitalità dentale e valutare un eventuale trattamento endodontico.;Controlar la vitalidad dental y evaluar un posible tratamiento endodóntico.;Überwachen Sie die Zahnvitalität und beurteilen Sie eine mögliche endodontische Behandlung.;monitor the vitalité dentaire and évaluer a possible traitement endodontique.;
